pharmacy_id,sku,drug_name,form,strength,price,qty,qty_available
ph0003,OTC029,Ibuprofen,Lozenge,100ml,122.61,178.0,
ph0003,OTC008,Saline Nasal Spray,Lozenge,750mg,110.18,34.0,
ph0003,OTC005,Melatonin,Cream,1%,8.03,37.0,
ph0003,OTC001,Chlorpheniramine,Capsule,500mg,10.66,164.0,
ph0003,OTC007,Eye Drops,Capsule,65mg,141.26,182.0,
ph0003,OTC015,Phenylephrine,Cream,1%,57.53,200.0,
ph0003,OTC006,Dextromethorphan,Drops,10mg,51.0,89.0,
ph0003,OTC014,Cough Syrup,Syrup,24 count,115.61,74.0,
ph0003,OTC024,Electrolyte Solution,Drops,20mg,142.34,2.0,
ph0003,OTC011,Iron Supplement,Solution,1%,39.44,39.0,
ph0003,OTC017,Diphenhydramine,Tablet,100ml,80.29,30.0,
ph0003,OTC026,Omeprazole,Lozenge,200mg,28.94,197.0,
ph0003,OTC016,Guaifenesin,Tablet,20mg,52.07,199.0,
ph0003,OTC004,Throat Lozenges,Spray,20mg,110.57,77.0,
ph0003,OTC021,Antibiotic Ointment,Ointment,750mg,38.39,20.0,
ph0024,OTC001,Ibuprofen,Cream,250mg,87.28,55.0,
ph0024,OTC020,Phenylephrine,Lozenge,65mg,116.13,10.0,
ph0024,OTC018,Antibiotic Ointment,Syrup,20mg,100.76,40.0,
ph0024,OTC012,Iron Supplement,Lozenge,1%,47.09,178.0,
ph0024,OTC028,Hydrocortisone Cream,Solution,250mg,119.75,128.0,
ph0024,OTC003,Calcium Supplement,Drops,24 count,69.39,23.0,
ph0024,OTC008,Dextromethorphan,Lozenge,500mg,110.02,43.0,
ph0024,OTC004,Guaifenesin,Syrup,10mg,113.65,63.0,
ph0024,OTC030,Loratadine,Capsule,10mg,39.6,128.0,
ph0024,OTC021,Vitamin C,Capsule,20mg,105.55,148.0,
ph0024,OTC022,Cetirizine,Cream,1%,62.29,140.0,
ph0024,OTC026,Pseudoephedrine,Syrup,10mg,87.21,159.0,
ph0024,OTC029,Acetaminophen,Drops,65mg,121.01,174.0,
ph0024,OTC007,Zinc Supplement,Capsule,24 count,143.73,101.0,
ph0024,OTC005,Chlorpheniramine,Tablet,20mg,146.2,98.0,
ph0088,OTC006,Acetaminophen,Tablet,500mg,112.15,28.0,
ph0088,OTC013,Calcium Supplement,Drops,100ml,131.87,20.0,
ph0088,OTC027,Chlorpheniramine,Tablet,100ml,73.37,153.0,
ph0088,OTC014,Melatonin,Syrup,325mg,37.64,76.0,
ph0088,OTC026,Zinc Supplement,Syrup,100ml,24.79,89.0,
ph0088,OTC004,Vitamin C,Cream,500mg,75.66,24.0,
ph0088,OTC019,Paracetamol,Cream,1%,5.42,130.0,
ph0088,OTC002,Probiotic,Cream,20mg,55.52,145.0,
ph0088,OTC007,Antibiotic Ointment,Syrup,65mg,84.65,128.0,
ph0088,OTC016,Loratadine,Syrup,200mg,32.19,195.0,
ph0088,OTC005,Iron Supplement,Cream,65mg,13.26,107.0,
ph0088,OTC008,Phenylephrine,Capsule,200mg,58.38,161.0,
ph0088,OTC003,Ibuprofen,Lozenge,100ml,60.55,195.0,
ph0088,OTC018,Antacid Tablets,Drops,250mg,142.67,163.0,
ph0088,OTC023,Eye Drops,Capsule,65mg,64.68,62.0,
ph0023,OTC027,Magnesium Supplement,Spray,10mg,110.71,98.0,
ph0023,OTC003,Throat Lozenges,Cream,200mg,142.52,187.0,
ph0023,OTC029,Pseudoephedrine,Drops,100ml,107.3,87.0,
ph0023,OTC018,Probiotic,Syrup,65mg,100.63,112.0,
ph0023,OTC010,Saline Nasal Spray,Solution,30mg,54.73,125.0,
ph0023,OTC024,Cough Syrup,Solution,15g,20.48,140.0,
ph0023,OTC016,Naproxen,Cream,15g,20.26,180.0,
ph0023,OTC025,Eye Drops,Lozenge,250mg,118.84,152.0,
ph0023,OTC013,Chlorpheniramine,Lozenge,1%,80.88,87.0,
ph0023,OTC020,Omeprazole,Ointment,30mg,133.8,103.0,
ph0023,OTC004,Paracetamol,Drops,20mg,120.61,81.0,
ph0023,OTC028,Melatonin,Tablet,20mg,149.84,149.0,
ph0023,OTC017,Diphenhydramine,Solution,200mg,74.92,23.0,
ph0023,OTC009,Dextromethorphan,Capsule,30mg,76.23,165.0,
ph0023,OTC006,Zinc Supplement,Solution,15g,60.94,153.0,
ph0061,OTC026,Aspirin,Lozenge,325mg,106.29,70.0,
ph0061,OTC018,Dextromethorphan,Spray,250mg,130.48,119.0,
ph0061,OTC010,Cough Syrup,Cream,10mg,72.08,170.0,
ph0061,OTC001,Diphenhydramine,Capsule,15g,28.0,125.0,
ph0061,OTC004,Omeprazole,Tablet,65mg,21.65,151.0,
ph0061,OTC007,Paracetamol,Syrup,1%,97.11,129.0,
ph0061,OTC005,Naproxen,Capsule,200mg,13.84,40.0,
ph0061,OTC023,Calcium Supplement,Solution,100ml,19.58,122.0,
ph0061,OTC012,Ibuprofen,Cream,100ml,107.15,88.0,
ph0061,OTC029,Zinc Supplement,Drops,20mg,38.68,128.0,
ph0061,OTC009,Chlorpheniramine,Solution,750mg,97.24,161.0,
ph0061,OTC025,Phenylephrine,Spray,500mg,51.16,108.0,
ph0061,OTC008,Eye Drops,Drops,325mg,126.8,124.0,
ph0061,OTC028,Melatonin,Spray,24 count,28.34,194.0,
ph0061,OTC020,Pseudoephedrine,Capsule,250mg,93.37,188.0,
ph0077,OTC020,Loratadine,Ointment,200mg,49.34,182.0,
ph0077,OTC028,Calcium Supplement,Syrup,750mg,106.88,153.0,
ph0077,OTC021,Paracetamol,Drops,10mg,112.17,79.0,
ph0077,OTC026,Phenylephrine,Ointment,325mg,46.34,173.0,
ph0077,OTC009,Naproxen,Solution,15g,139.81,3.0,
ph0077,OTC023,Throat Lozenges,Capsule,750mg,71.1,159.0,
ph0077,OTC019,Omeprazole,Lozenge,24 count,44.48,182.0,
ph0077,OTC025,Zinc Supplement,Tablet,1%,28.65,15.0,
ph0077,OTC006,Cetirizine,Syrup,1%,145.98,142.0,
ph0077,OTC024,Antacid Tablets,Tablet,750mg,19.95,153.0,
ph0077,OTC010,Cough Syrup,Lozenge,20mg,73.53,136.0,
ph0077,OTC013,Eye Drops,Capsule,10mg,95.99,161.0,
ph0077,OTC027,Antibiotic Ointment,Capsule,24 count,89.35,53.0,
ph0077,OTC007,Chlorpheniramine,Lozenge,500mg,21.66,74.0,
ph0077,OTC030,Ibuprofen,Lozenge,100ml,73.86,158.0,
ph0085,OTC009,Zinc Supplement,Lozenge,30mg,8.05,44.0,
ph0085,OTC002,Diphenhydramine,Drops,200mg,131.45,82.0,
ph0085,OTC030,Phenylephrine,Ointment,325mg,47.46,167.0,
ph0085,OTC012,Omeprazole,Solution,750mg,52.45,13.0,
ph0085,OTC001,Antacid Tablets,Syrup,10mg,137.22,14.0,
ph0085,OTC024,Cetirizine,Solution,1%,58.85,194.0,
ph0085,OTC006,Calcium Supplement,Cream,100ml,38.07,34.0,
ph0085,OTC016,Dextromethorphan,Cream,24 count,102.98,181.0,
ph0085,OTC020,Loratadine,Tablet,65mg,120.47,112.0,
ph0085,OTC005,Eye Drops,Capsule,500mg,95.88,48.0,
ph0085,OTC014,Saline Nasal Spray,Syrup,250mg,124.04,29.0,
ph0085,OTC011,Electrolyte Solution,Drops,325mg,7.04,17.0,
ph0085,OTC019,Antibiotic Ointment,Cream,30mg,93.82,158.0,
ph0085,OTC004,Guaifenesin,Drops,325mg,26.03,31.0,
ph0085,OTC008,Acetaminophen,Tablet,250mg,90.9,184.0,
ph0062,OTC022,Vitamin C,Ointment,30mg,8.15,175.0,
ph0062,OTC020,Antacid Tablets,Spray,250mg,135.48,46.0,
ph0062,OTC013,Omeprazole,Syrup,65mg,5.76,36.0,
ph0062,OTC007,Cetirizine,Lozenge,15g,110.6,90.0,
ph0062,OTC027,Loratadine,Spray,100ml,73.59,45.0,
ph0062,OTC021,Phenylephrine,Lozenge,20mg,15.85,148.0,
ph0062,OTC005,Pseudoephedrine,Tablet,200mg,95.11,121.0,
ph0062,OTC016,Naproxen,Syrup,1%,35.35,144.0,
ph0062,OTC010,Melatonin,Capsule,10mg,141.72,182.0,
ph0062,OTC017,Guaifenesin,Syrup,1%,119.21,32.0,
ph0062,OTC004,Diphenhydramine,Spray,24 count,97.45,21.0,
ph0062,OTC015,Dextromethorphan,Drops,500mg,98.74,88.0,
ph0062,OTC003,Chlorpheniramine,Syrup,250mg,105.55,173.0,
ph0062,OTC002,Acetaminophen,Capsule,100ml,45.84,106.0,
ph0062,OTC025,Aspirin,Tablet,65mg,148.1,109.0,
ph0032,OTC013,Melatonin,Solution,100ml,40.75,111.0,
ph0032,OTC024,Iron Supplement,Solution,65mg,78.39,42.0,
ph0032,OTC014,Antibiotic Ointment,Tablet,30mg,109.45,29.0,
ph0032,OTC029,Acetaminophen,Cream,15g,129.0,67.0,
ph0032,OTC020,Cetirizine,Syrup,200mg,126.87,112.0,
ph0032,OTC004,Probiotic,Syrup,325mg,140.1,12.0,
ph0032,OTC023,Cough Syrup,Spray,20mg,145.6,43.0,
ph0032,OTC016,Omeprazole,Lozenge,15g,90.61,49.0,
ph0032,OTC002,Hydrocortisone Cream,Cream,65mg,111.09,19.0,
ph0032,OTC006,Paracetamol,Drops,20mg,125.39,153.0,
ph0032,OTC022,Dextromethorphan,Solution,10mg,86.43,31.0,
ph0032,OTC001,Calcium Supplement,Capsule,65mg,83.47,110.0,
ph0032,OTC025,Guaifenesin,Ointment,30mg,53.6,117.0,
ph0032,OTC018,Zinc Supplement,Drops,750mg,85.1,86.0,
ph0032,OTC008,Antacid Tablets,Syrup,15g,11.33,121.0,
ph0046,OTC029,Pseudoephedrine,Ointment,500mg,82.97,74.0,
ph0046,OTC028,Cough Syrup,Solution,100ml,34.58,60.0,
ph0046,OTC007,Chlorpheniramine,Ointment,15g,8.84,44.0,
ph0046,OTC027,Acetaminophen,Solution,250mg,32.3,38.0,
ph0046,OTC016,Multivitamin,Syrup,250mg,108.23,198.0,
ph0046,OTC021,Cetirizine,Spray,325mg,30.26,125.0,
ph0046,OTC020,Calcium Supplement,Cream,15g,33.88,161.0,
ph0046,OTC023,Zinc Supplement,Solution,20mg,128.34,25.0,
ph0046,OTC014,Melatonin,Ointment,1%,75.13,169.0,
ph0046,OTC008,Omeprazole,Cream,325mg,16.04,85.0,
ph0046,OTC001,Throat Lozenges,Lozenge,65mg,14.91,123.0,
ph0046,OTC010,Antacid Tablets,Syrup,24 count,127.6,184.0,
ph0046,OTC030,Phenylephrine,Spray,750mg,33.73,131.0,
ph0046,OTC022,Vitamin C,Tablet,325mg,147.19,37.0,
ph0046,OTC025,Loratadine,Cream,100ml,33.14,127.0,
ph0093,OTC024,Cough Syrup,Capsule,30mg,79.77,86.0,
ph0093,OTC004,Calcium Supplement,Capsule,200mg,139.56,195.0,
ph0093,OTC026,Antibiotic Ointment,Drops,20mg,78.44,198.0,
ph0093,OTC012,Pseudoephedrine,Syrup,30mg,138.55,112.0,
ph0093,OTC014,Acetaminophen,Drops,20mg,82.9,58.0,
ph0093,OTC010,Vitamin C,Lozenge,30mg,103.29,43.0,
ph0093,OTC029,Throat Lozenges,Tablet,325mg,6.7,30.0,
