pharmacy_id,sku,qty_available,price
ph50014,OTC009,78,31.11
ph50014,OTC007,41,244.12
ph50014,OTC035,77,114.86
ph50014,OTC015,39,18.21
ph50014,OTC005,87,125.25
ph50014,OTC026,27,82.49
ph50014,OTC036,97,205.81
ph50014,OTC040,48,44.2
ph50014,OTC016,50,90.84
ph50014,OTC033,51,150.68
ph50014,OTC030,83,208.03
ph50014,OTC006,14,181.53
ph50014,OTC002,80,44.41
ph50014,OTC031,85,69.58
ph50014,OTC013,46,147.03
ph50014,OTC037,54,199.13
ph50014,OTC010,43,191.53
ph50014,OTC032,48,199.73
ph50014,OTC001,80,204.09
ph50014,OTC017,16,149.3
ph50014,OTC003,114,152.78
ph50014,OTC042,61,144.3
ph50014,OTC041,58,151.13
ph91828,OTC042,17,181.48
ph91828,OTC003,58,64.84
ph91828,OTC002,136,215.96
ph91828,OTC006,29,194.94
ph91828,OTC011,70,209.87
ph91828,OTC037,23,161.21
ph91828,OTC035,61,83.69
ph91828,OTC013,87,62.45
ph91828,OTC015,25,43.55
ph91828,OTC005,18,190.97
ph91828,OTC040,58,76.94
ph91828,OTC033,42,173.54
ph91828,OTC043,83,214.16
ph91828,OTC008,35,39.13
ph91828,OTC032,49,119.57
ph91828,OTC041,31,124.89
ph91828,OTC030,20,150.25
ph91828,OTC007,13,96.8
ph91828,OTC017,91,54.29
ph91828,OTC034,29,79.51
ph91828,OTC010,23,149.67
ph91828,OTC016,19,106.32
ph91828,OTC038,31,68.31
ph39789,OTC039,82,203.73
ph39789,OTC030,33,139.1
ph39789,OTC023,84,173.31
ph39789,OTC038,20,18.86
ph39789,OTC013,39,105.39
ph39789,OTC008,84,66.62
ph39789,OTC011,24,185.05
ph39789,OTC002,52,212.96
ph39789,OTC010,56,53.65
ph39789,OTC005,78,119.59
ph39789,OTC006,72,56.53
ph39789,OTC036,97,182.06
ph39789,OTC040,27,94.51
ph39789,OTC009,83,227.42
ph39789,OTC033,39,116.27
ph39789,OTC003,120,195.01
ph39789,OTC032,45,198.17
ph39789,OTC016,49,125.42
ph39789,OTC035,97,120.0
ph39789,OTC042,76,146.55
ph39789,OTC026,96,163.71
ph39789,OTC007,80,28.74
ph39789,OTC034,15,40.32
ph20477,OTC017,98,129.79
ph20477,OTC006,89,132.41
ph20477,OTC036,96,25.95
ph20477,OTC035,71,220.74
ph20477,OTC040,28,165.08
ph20477,OTC043,35,207.59
ph20477,OTC023,74,63.87
ph20477,OTC008,48,27.26
ph20477,OTC038,99,127.79
ph20477,OTC030,40,18.58
ph20477,OTC003,124,54.56
ph20477,OTC041,63,69.99
ph20477,OTC016,43,223.64
ph20477,OTC042,77,96.67
ph20477,OTC002,52,78.93
ph20477,OTC009,21,121.44
ph20477,OTC039,92,120.72
ph20477,OTC015,59,209.18
ph20477,OTC037,48,80.34
ph26031,OTC035,94,92.57
ph26031,OTC002,115,48.99
ph26031,OTC042,43,239.39
ph26031,OTC015,76,110.35
ph26031,OTC005,86,146.9
ph26031,OTC037,64,139.17
ph26031,OTC026,96,119.4
ph26031,OTC040,42,134.49
ph26031,OTC036,54,117.32
ph26031,OTC013,74,88.64
ph26031,OTC031,49,139.31
ph26031,OTC006,26,114.68
ph26031,OTC009,33,75.26
ph26031,OTC039,37,147.25
ph26031,OTC010,27,127.24
ph26031,OTC001,76,148.64
ph26031,OTC023,82,26.42
ph26031,OTC038,48,226.46
